open,high,low,close,volume,date
83.36,84.88,82.74,84.05,391380.0,2021-11-01
83.87,84.41,82.92,83.91,406851.0,2021-11-02
83.07,83.08,79.69,80.86,521441.0,2021-11-03
80.18,83.42,78.25,78.81,679979.0,2021-11-04
79.37,81.8,78.96,81.27,495564.0,2021-11-05
81.13,82.67,81.05,81.93,362989.0,2021-11-08
82.16,84.63,81.78,84.15,469906.0,2021-11-09
84.53,84.97,80.81,81.34,517666.0,2021-11-10
81.41,82.33,80.2,81.59,438940.0,2021-11-11
81.21,81.62,79.78,80.79,366085.0,2021-11-12
80.66,81.2,79.3,80.88,315309.0,2021-11-15
80.93,81.81,80.03,80.76,298561.0,2021-11-16
80.54,80.69,77.69,78.36,151244.0,2021-11-17
78.34,79.36,77.08,79.01,45129.0,2021-11-18
78.76,79.92,75.37,76.1,21558.0,2021-11-19
75.75,77.16,74.76,76.75,450842.0,2021-11-22
76.46,78.86,75.3,78.5,487578.0,2021-11-23
78.48,79.23,77.98,78.39,312443.0,2021-11-24
78.1,78.17,67.4,68.15,825163.0,2021-11-26
69.23,72.93,68.86,69.95,654128.0,2021-11-29
70.04,71.22,64.43,66.18,695141.0,2021-11-30
67.01,69.49,64.84,65.57,577281.0,2021-12-01
65.63,67.49,62.43,66.5,647830.0,2021-12-02
67.5,69.22,65.6,66.26,429169.0,2021-12-03
67.02,70.15,66.72,69.49,381415.0,2021-12-06
69.72,73.03,69.52,72.05,455978.0,2021-12-07
71.86,73.0,70.91,72.36,433777.0,2021-12-08
72.52,73.34,70.39,70.94,358015.0,2021-12-09
70.68,72.33,70.32,71.67,359324.0,2021-12-10
72.04,73.0,70.71,71.29,362043.0,2021-12-13
71.12,72.03,69.51,70.73,330236.0,2021-12-14
70.35,71.66,69.39,70.87,271593.0,2021-12-15
71.48,72.99,71.03,72.38,121440.0,2021-12-16
71.92,72.26,69.89,70.86,55248.0,2021-12-17
70.07,70.07,66.04,68.23,20838.0,2021-12-20
69.21,71.55,68.56,71.12,343262.0,2021-12-21
71.27,73.16,70.8,72.76,295571.0,2021-12-22
73.03,73.95,72.27,73.79,253529.0,2021-12-23
73.38,76.09,72.57,75.57,253684.0,2021-12-27
75.97,76.92,75.53,75.98,239539.0,2021-12-28
76.04,77.37,75.36,76.56,271934.0,2021-12-29
76.58,77.44,75.78,76.99,219634.0,2021-12-30
76.66,77.08,74.95,75.21,220573.0,2021-12-31
75.69,76.46,74.27,76.08,299734.0,2022-01-03
76.02,77.64,75.7,76.99,354487.0,2022-01-04
77.18,78.58,76.51,77.85,379035.0,2022-01-05
77.24,80.24,76.73,79.46,457889.0,2022-01-06
79.62,80.47,78.52,78.9,383363.0,2022-01-07
78.88,79.45,77.83,78.23,356260.0,2022-01-10
78.42,81.59,78.36,81.22,442359.0,2022-01-11
81.38,83.1,81.17,82.64,385040.0,2022-01-12
82.82,82.94,81.39,82.12,326008.0,2022-01-13
81.73,84.45,81.58,83.82,338268.0,2022-01-14
84.28,86.63,84.11,85.43,140652.0,2022-01-18
86.61,87.92,85.77,86.96,74583.0,2022-01-19
86.23,87.82,86.0,86.9,17184.0,2022-01-20
84.57,85.56,82.78,85.14,488219.0,2022-01-21
84.91,86.09,81.9,83.31,495716.0,2022-01-24
84.15,85.71,82.99,85.6,492368.0,2022-01-25
85.26,87.95,85.01,87.35,442128.0,2022-01-26
